Key	CodeTypeAlternateId	CodeValueId	LocaleId
50001	1	F	
50002	1	M	
50003	2	AFG	
50004	2	EGY	
50005	2	ALA	
50006	2	ALB	
50007	2	DZA	
50008	2	ASM	
50009	2	AND	
50010	2	AGO	
50011	2	AIA	
50012	2	ATA	
50013	2	ATG	
50014	2	GNQ	
50015	2	ARG	
50016	2	ARM	
50017	2	ABW	
50018	2	AZE	
50019	2	ETH	
50020	2	AUS	
50021	2	BHS	
50022	2	BHR	
50023	2	BGD	
50024	2	BRB	
50025	2	BLR	
50026	2	BEL	
50027	2	BLZ	
50028	2	BEN	
50029	2	BMU	
50030	2	BTN	
50031	2	BOL	
50032	2	BIH	
50033	2	BWA	
50034	2	BVT	
50035	2	BRA	
50036	2	IOT	
50037	2	BRN	
50038	2	BGR	
50039	2	BFA	
50040	2	BDI	
50041	2	CHL	
50042	2	CHN	
50043	2	COK	
50044	2	CRI	
50045	2	CUW	
50046	2	DNK	
50047	2	COD	
50048	2	DEU	
50049	2	DMA	
50050	2	DOM	
50051	2	DJI	
50052	2	ECU	
50053	2	SLV	
50054	2	CIV	
50055	2	ERI	
50056	2	EST	
50057	2	FLK	
50058	2	FRO	
50059	2	FJI	
50060	2	FIN	
50061	2	FRA	
50062	2	GUF	
50063	2	PYF	
50064	2	ATF	
50065	2	GAB	
50066	2	GMB	
50067	2	GEO	
50068	2	GHA	
50069	2	GIB	
50070	2	GRD	
50071	2	GRC	
50072	2	GRL	
50073	2	GLP	
50074	2	GUM	
50075	2	GTM	
50076	2	GGY	
50077	2	GIN	
50078	2	GNB	
50079	2	GUY	
50080	2	HTI	
50081	2	HMD	
50082	2	HND	
50083	2	HKG	
50084	2	IND	
50085	2	IDN	
50086	2	IMN	
50087	2	IRQ	
50088	2	IRN	
50089	2	IRL	
50090	2	ISL	
50091	2	ISR	
50092	2	ITA	
50093	2	JAM	
50094	2	JPN	
50095	2	YEM	
50096	2	JEY	
50097	2	JOR	
50098	2	VGB	
50099	2	VIR	
50100	2	CYM	
50101	2	KHM	
50102	2	CMR	
50103	2	CAN	
50104	2	CPV	
50105	2	KAZ	
50106	2	QAT	
50107	2	KEN	
50108	2	KGZ	
50109	2	KIR	
50110	2	CCK	
50111	2	COL	
50112	2	COM	
50113	2	COG	
50114	2	KOS	
50115	2	HRV	
50116	2	CUB	
50117	2	KWT	
50118	2	LAO	
50119	2	LSO	
50120	2	LVA	
50121	2	LBN	
50122	2	LBR	
50123	2	LBY	
50124	2	LIE	
50125	2	LTU	
50126	2	LUX	
50127	2	MAC	
50128	2	MDG	
50129	2	MWI	
50130	2	MYS	
50131	2	MDV	
50132	2	MLI	
50133	2	MLT	
50134	2	MAR	
50135	2	MHL	
50136	2	MTQ	
50137	2	MRT	
50138	2	MUS	
50139	2	MYT	
50140	2	MKD	
50141	2	MEX	
50142	2	FSM	
50143	2	MDA	
50144	2	MCO	
50145	2	MNG	
50146	2	MNE	
50147	2	MSR	
50148	2	MOZ	
50149	2	MMR	
50150	2	NAM	
50151	2	NRU	
50152	2	NPL	
50153	2	NCL	
50154	2	NZL	
50155	2	NIC	
50156	2	NLD	
50157	2	ANT	
50158	2	NER	
50159	2	NGA	
50160	2	NIU	
50161	2	PRK	
50162	2	MNP	
50163	2	NFK	
50164	2	NOR	
50165	2	OMN	
50166	2	AUT	
50167	2	TLS	
50168	2	PAK	
50169	2	PSE	
50170	2	PLW	
50171	2	PAN	
50172	2	PNG	
50173	2	PRY	
50174	2	PER	
50175	2	PHL	
50176	2	PCN	
50177	2	POL	
50178	2	PRT	
50179	2	PRI	
50180	2	REU	
50181	2	RWA	
50182	2	ROU	
50183	2	RUS	
50184	2	SLB	
50185	2	ZMB	
50186	2	WSM	
50187	2	SMR	
50188	2	BLM	
50189	2	STP	
50190	2	SAU	
50191	2	SWE	
50192	2	CHE	
50193	2	SEN	
50194	2	SRB	
50195	2	SYC	
50196	2	SLE	
50197	2	ZWE	
50198	2	SGP	
50199	2	SXM	
50200	2	SVK	
50201	2	SVN	
50202	2	SOM	
50203	2	ESP	
50204	2	LKA	
50205	2	SHN	
50206	2	KNA	
50207	2	LCA	
50208	2	SPM	
50209	2	VCT	
50210	2	ZAF	
50211	2	SDN	
50212	2	SGS	
50213	2	KOR	
50214	2	SSD	
50215	2	SUR	
50216	2	SJM	
50217	2	SWZ	
50218	2	SYR	
50219	2	TJK	
50220	2	TWN	
50221	2	TZA	
50222	2	THA	
50223	2	TGO	
50224	2	TKL	
50225	2	TON	
50226	2	TTO	
50227	2	TCD	
50228	2	CZE	
50229	2	TUN	
50230	2	TUR	
50231	2	TKM	
50232	2	TCA	
50233	2	TUV	
50234	2	UGA	
50235	2	UKR	
50236	2	HUN	
50237	2	URY	
50238	2	UZB	
50239	2	VUT	
50240	2	VAT	
50241	2	VEN	
50242	2	ARE	
50243	2	USA	
50244	2	GBR	
50245	2	VNM	
50246	2	WLF	
50247	2	CXR	
50248	2	ESH	
50249	2	CAF	
50250	2	CYP	
